# M∗M14d M14df MJAM-M14bot MJAM-M14top
9.05 -1.955 -1.922 -1.960 -1.914
9.15 -1.993 -1.946 -1.971 -1.931
9.25 -1.999 -1.982 -2.021 -1.985
9.35 -2.043 -2.011 -2.062 -2.020
9.45 -2.092 -2.058 -2.122 -2.072
9.55 -2.121 -2.098 -2.163 -2.124
9.65 -2.150 -2.131 -2.206 -2.167
9.75 -2.196 -2.157 -2.241 -2.192
9.85 -2.229 -2.183 -2.284 -2.229
9.95 -2.250 -2.209 -2.306 -2.259
10.05 -2.262 -2.214 -2.328 -2.276
10.15 -2.269 -2.231 -2.337 -2.290
10.25 -2.279 -2.232 -2.345 -2.305
10.35 -2.282 -2.247 -2.349 -2.310
10.45 -2.301 -2.274 -2.364 -2.331
10.55 -2.339 -2.308 -2.382 -2.350
10.65 -2.385 -2.356 -2.406 -2.378
10.75 -2.442 -2.411 -2.445 -2.416
10.85 -2.514 -2.484 -2.495 -2.466
10.95 -2.603 -2.578 -2.547 -2.515
11.05 -2.714 -2.689 -2.627 -2.588
11.15 -2.864 -2.837 -2.714 -2.674
11.25 -3.037 -3.003 -2.825 -2.778
11.35 -3.236 -3.200 -2.960 -2.904
11.45 -3.461 -3.416 -3.126 -3.062
11.55 -3.721 -3.658 -3.306 -3.227
11.65 -3.996 -3.909 -3.508 -3.422
11.75 -4.317 -4.209 -3.742 -3.635
11.85 -4.690 -4.527 -4.002 -3.878
11.95 -5.103 -4.883 -4.296 -4.135
12.05 -5.587 -5.285 -4.615 -4.418
12.15 -6.261 -5.754 -4.964 -4.744
12.25 -6.810 -6.327 -5.366 -5.076
12.35 -99 -99 -5.869 -5.436
12.45 -99 -99 -6.523 -5.970
12.55 -99 -99 -7.030 -6.486
